geo_type,region,transportation_type,alternative_name,sub-region,country,date,count
city,Wichita,walking,NA,Kansas,United States,2020-03-13,142.72
city,Wichita,walking,NA,Kansas,United States,2020-03-14,141.84
city,Wichita,walking,NA,Kansas,United States,2020-03-15,81.71
city,Wichita,walking,NA,Kansas,United States,2020-03-16,96.26
city,Wichita,walking,NA,Kansas,United States,2020-03-17,101.08
city,Wichita,walking,NA,Kansas,United States,2020-03-18,98.53
city,Wichita,walking,NA,Kansas,United States,2020-03-19,106.29
city,Wichita,walking,NA,Kansas,United States,2020-03-20,99.65
city,Wichita,walking,NA,Kansas,United States,2020-03-21,94.13
city,Wichita,walking,NA,Kansas,United States,2020-03-22,61.44
city,Wichita,walking,NA,Kansas,United States,2020-03-23,90.16
city,Wichita,walking,NA,Kansas,United States,2020-03-24,88.54
city,Wichita,walking,NA,Kansas,United States,2020-03-25,89.12
city,Wichita,walking,NA,Kansas,United States,2020-03-26,86.18
city,Wichita,walking,NA,Kansas,United States,2020-03-27,93.44
city,Wichita,walking,NA,Kansas,United States,2020-03-28,78.19
city,Wichita,walking,NA,Kansas,United States,2020-03-29,71.21
city,Wichita,walking,NA,Kansas,United States,2020-03-30,78.31
city,Wichita,walking,NA,Kansas,United States,2020-03-31,92.4
city,Wichita,walking,NA,Kansas,United States,2020-04-01,94.64
city,Wichita,walking,NA,Kansas,United States,2020-04-02,83.17
city,Wichita,walking,NA,Kansas,United States,2020-04-03,81.09
city,Wichita,walking,NA,Kansas,United States,2020-04-04,75.65
city,Wichita,walking,NA,Kansas,United States,2020-04-05,69.12
city,Wichita,walking,NA,Kansas,United States,2020-04-06,82.63
city,Wichita,walking,NA,Kansas,United States,2020-04-07,91.97
city,Wichita,walking,NA,Kansas,United States,2020-04-08,100.77
city,Wichita,walking,NA,Kansas,United States,2020-04-09,94.56
city,Wichita,walking,NA,Kansas,United States,2020-04-10,112.7
city,Wichita,walking,NA,Kansas,United States,2020-04-11,99.65
city,Wichita,walking,NA,Kansas,United States,2020-04-12,48.94
city,Wichita,walking,NA,Kansas,United States,2020-04-13,78.35
city,Wichita,walking,NA,Kansas,United States,2020-04-14,80.74
city,Wichita,walking,NA,Kansas,United States,2020-04-15,99.11
